Date,Series,Scientific,Common,Specimen,Stain,Location,Plate,Reference,Investigation,Microscope,Objective,ObjectiveMagnification,Camera,LowerCameraMagnification,UpperCameraMagnification,NotebookReference,Notes
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Gossyplum sp.,Cotton,"Cotton stem, L.S.",,,PS-LAK-010-003.png,PS-LAK-010-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine stem, T.S.",,,PS-LAK-011-001.png,PS-LAK-011-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine stem, T.S.",,,PS-LAK-011-002.png,PS-LAK-011-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Cucurbita sp.,Pumpkin,"Pumpkin stem, T.S.",,,PS-LAK-012-001.png,PS-LAK-012-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Cucurbita sp.,Pumpkin,"Pumpkin stem, T.S.",,,PS-LAK-012-002.png,PS-LAK-012-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Cucurbita sp.,Pumpkin,"Pumpkin stem, T.S.",,,PS-LAK-012-003.png,PS-LAK-012-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Zea sp.,Maize,"Zea stem, T.S.",,,PS-LAK-013-001.png,PS-LAK-013-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Helianthus annuus,Sunflower,"Sunflower stem, T.S.",,,PS-LAK-014-001.png,PS-LAK-014-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Oryza sativa,Rice,"Rice stem, T.S.",,,PS-LAK-015-001.png,PS-LAK-015-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Triticum aestivum,Wheat,"Wheat stem, T.S.",,,PS-LAK-016-001.png,PS-LAK-016-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
