Species,Scientific_Name,Category
Hammerkop,Scopus umbretta,Birds
Harebell,Campanula rotundifolia,Flora
Harnessed Bushbuck ,Tragelaphus scriptus,Ungulates
Hartebeest,Alcelaphus buselaphus,Ungulates
Hasarius Adansoni,Hasarius Adansoni,Arachnids
Hawfinch,Coccothraustes coccothraustes,Birds
Hawkweed,Hieracium,Flora
Hawthorn,Crataegus monogyna,Trees
Hawthorn Shieldbug,Acanthosoma haemorrhoidale,Insects
Hedgehog,Erinaceus europaeus,Mammals
Helmeted Guineafowl,Numida meleagris,Birds
Hemlock,Conium maculatum,Flora
Herb Robert,Geranium robertianum,Flora
Hermit Crab,,Marine Invertebrates
Herring Gull,Larus argentatus,Birds
Himalayan Balsam,Impatiens glandulifera,Flora
Hippopotamus,Hippopotamus amphibius,Mammals
Hoary Cress,Lepidium draba,Flora
Hobby,Falco subbuteo,Birds
Hogweed,Heracleum sphondylium,Flora
Holly,,Trees
Holly Blue Butterfly,Celastrina argiolus,Butterflies
Honey Bee,Apis mellifera,Bees
Honeysuckle,Lonicera periclymenum,Flora
Hooded Crow,Corvus cornix,Birds
Hoopoe,Upupa epops,Birds
Horned Ghost Crab,Ocypode ceratophthalmus,Marine Invertebrates
Hornet Mimic Hoverfly,Volucella zonaria,Flies
Horse Chestnut,Aesculus hippocastanum,Trees
Horsetail,Equisetum arvense,Flora
House Cricket,Acheta domesticus,Grasshoppers
House Crow,Corvus splendens,Birds
House Fly,Musca domestica,Flies
House Gecko,Hemidactylus frenatus,Reptiles
House Martin,Delichon urbicum,Birds
House Sparrow,Passer domesticus,Birds
Hoverfly,,Flies
Hummingbird Hawkmoth,Macroglossum stellatarum,Moths
Iberian Ibex,Capra pyrenaica,Ungulates
Ichneumon Wasp,Ichneumonoidea,Wasps
Indian Almond,Terminalia catappa,Trees
Ivy,Hedera,Flora
Jackdaw,Coloeus monedula,Birds
Jay,Garrulus glandarius,Birds
Jumping Spider,,Arachnids
Kentish Plover,Charadrius alexandrinus,Birds
Kigelia Africana,Kigelia Africana,Trees
Kingfisher,Alcedo atthis,Birds
Kirk's Dik-dik ,Madoqua kirkii,Ungulates
Kori Bustard,Ardeotis kori,Birds
Lady's Smock,Cardamine pratensis,Flora
Ladybird,,Beetles
Lady’s Bedstraw,Galium verum,Flora
Lappet-Faced Vulture,Torgos tracheliotos,Birds
Lapwing,Vanellus vanellus,Birds
Large White Butterfly,Pieris brassicae,Butterflies
Latannyen Palm,,Trees
Laughing Dove,Spilopelia senegalensis,Birds
Leopard,Panthera pardus,Cats
Lesser Black-Backed Gull,Larus fuscus,Birds
Lesser Celandine,Ficaria verna,Flora
Lesser Flamingo,Phoeniconaias minor,Birds
Lesser Kestrel,Falco naumanni,Birds
Lesser Kudu,Tragelaphus imberbis,Ungulates
Lesser Redpoll,Acanthis cabaret,Birds
Lilac-Breasted Roller,Coracias caudatus,Birds
Lion,Panthera leo,Cats
Little Bee-Eater,Merops pusillus,Birds
Little Egret,Egretta garzetta,Birds
Little Grebe,Tachybaptus ruficollis,Birds
Long-Crested Eagle,Lophaetus occipitalis,Birds
Long-Tailed Tit,Aegithalos caudatus,Birds
Madagascar Fody,Foudia madagascariensis,Birds
Madagascar Turtle Dove,Nesoenas picturatus,Birds
Magpie,Pica pica,Birds
Mallard,Anas platyrhynchos,Birds
Mandarin Duck,Aix galericulata,Birds
Mangrove Crab,Cardisoma carnifex,Marine Invertebrates
Marbled White Butterfly,Melanargia galathea,Butterflies
Maribu Stork,Leptoptilos crumenifer,Birds
Marmalade Hoverfly,Episyrphus Balleatus,Flies
Marsh Marigold,Caltha palustris,Flora
Martial Eagle,Polemaetus bellicosus,Birds
Mascarene Swiftlet,Aerodramus francicus,Birds
Mauritian Black Scarab Beetle,Trochocarpa nitens,Beetles
Mauritian Fruit Bat,Pterops niger,Bats
Mauritius Fody,Foudia rubra,Birds
Mayfly,Ephemera danica,Flies
Meadow Brown Butterfly,Maniola jurtina,Butterflies
Meadow Buttercup,Ranunculus acris,Flora
Meadow Cranesbill,Geranium pratense,Flora
Meadow Grasshopper,Pseudochorthippus parallelus,Grasshoppers
Meadow Pipit,Anthus pratensis,Birds
Merganser,Mergus merganser,Birds
Merlin,Falco columbarius,Birds
Michaelmas Daisy,Aster amellus,Flora
Mistle Thrush,Turdus viscivorus,Birds
Mistletoe,Viscum album,Flora
Mongoose,,Mammals
Monk Parakeet,Myiopsitta monachus,Birds
Moorhen,Gallinula chloropus,Birds
Mouse,,Rodents
Muntjac,Muntiacus reevesi,Ungulates
Musk Mallow,Malva moschata,Flora
Musk Thistle,Carduus nutans,Flora
Mute Swan,Cygnus olor,Birds
Nettle,Urtica dioica,Flora
Nile Crocodile,Crocodylus niloticus,Reptiles
Nile Monitor Lizard,Varanus niloticus,Reptiles
Nubian Vulture,Neophron percnopterus,Birds
Nuthatch,Sitta europaea,Birds
Oak Bush Cricket,Meconema thalassinum,Grasshoppers
Orange-Tip Butterfly,Anthocharis cardamines,Butterflies
Orange-Winged Dropwing Dragonfly,Trithemis kirbyi,Dragonflies
Osprey,Pandion haliaetus,Birds
Oxeye Daisy,Leucanthemum vulgare,Flora
Oxford Ragwort,Senecio squalidus,Flora
Oxpecker,Buphagus,Birds
Oystercatcher,Haematopus ostralegus,Birds
Painted Lady Butterfly,Vanessa cardui,Butterflies
Palm-Nut Vulture,Gypohierax angolensis,Birds
Peacock Butterfly,Aglais io,Butterflies
Peregrine Falcon,Falco peregrinus,Birds
Periwinkle,Vinca major,Flora
Pheasant,Phasianus colchicus,Birds
Pied Crow,Corvus albus,Birds
Pied Wagtail,Motacilla alba,Birds
Pintail,Anas acuta,Birds
Pipistrelle Bat,Pipistrellus pipistrellus,Bats
Plains Zebra,Equus quagga,Ungulates
Pochard,Aythya ferina,Birds
Pond Skater,Gerris lacustris,Insects
Poplar,,Trees
Potter Wasp,Delta alluaudi,Wasps
Primrose,Primula vulgaris,Flora
Purple Grenadier,Granatina ianthinogaster,Birds
Purple Salsify,Tragopogon porrifolius,Flora
Pyramidal Orchid,Anacamptis pyramidalis,Flora
Rabbit,Oryctolagus cuniculus,Mammals
Ragged Robin,Silene flos-cuculi,Flora
Ragwort,Jacobaea vulgaris,Flora
Ramson,Allium ursinum,Flora
Red Admiral Butterfly,Vanessa atalanta,Butterflies
Red Ant,Myrmica rubra,Ants
Red Campion,Silene dioica,Flora
Red Clover,Trifolium pratense,Flora
Red Dead-Nettle,Lamium purpureum,Flora
Red Hawker Dragonfly,Aeshna juncea,Dragonflies
Red Kite,Milvus milvus,Birds
Red Mangrove,Rhizophora mucronata,Flora
Red Rock Crab,Neosarmatium neinerti,Marine Invertebrates
Red Squirrel,Sciurus vulgaris,Rodents
Red Valerian,Centranthus ruber,Flora
Red Water Lily,Nymphaea rubra,Flora
Red Whiskered Bulbul,Pycnonotus jocosus,Birds
Red-Crested Pochard,Netta rufina,Birds
Red-Legged Orb-Weaver,Trichonephila inaurata,Arachnids
Red-Legged Partridge,Alectoris rufa,Birds
Red-Tailed Bumblebee,Bombus Lapidarius,Bees
Redpoll,Acanthis flammea,Birds
Redwing,Turdus iliacus,Birds
Reed Bunting,Emberiza schoeniclus,Birds
Reed Warbler,Acrocephalus scirpaceus,Birds
Ring-Necked Dove,Streptopelia capicola,Birds
Ring-Necked Parakeet,Psittacula krameri,Birds
Ringlet Butterfly,Aphantopus hyperantus,Butterflies
Robin,Erithacus rubecula,Birds
Rock Hyrax,Procavia capensis,Mammals
Roe Deer,Capreolus capreolus,Ungulates
Rook,Corvus frugilegus,Birds
Rose-Ringed Parakeet,Psittacula krameri,Birds
Rosebay Willowherb,Chamaenerion angustifolium,Flora
Rowan,Sorbus aucuparia,Trees
Ruby Tiger Moth,Ryszard Szczygieł,Moths
Ruddy Duck,Oxyura jamaicensis,Birds
Rüppell's Starling,Lamprotornis purpuroptera,Birds
Rüppell's Vulture,Gyps rueppelli,Birds
Sacred Ibis,Threskiornis aethiopicus,Birds
Safari Ant,Vespa helvola,Ants
Sanderling,Calidris alba,Birds
Sandwich Tern,Thalasseus sandvicensis,Birds
Sardinian Warbler,Curruca melanocephala,Birds
Scabious,Scabiosa,Flora
Scarlet Elf Cup,Sarcoscypha coccinea,Fungi
Scarlet Pimpernel,Anagallis arvensis,Flora
Scarlet Tiger Moth,Callimorpha dominula,Moths
Sculptured Resin Bee,Megachile sculpturalis,Bees
Secretary Bird,Sagittarius serpentarius,Birds
Sedge Warbler,Acrocephalus schoenobaenus,Birds
Serin,Serinus serinus,Birds
Seven Spot Ladybird,Coccinella septempunctata,Beetles
Seychelles Black Parrot,Coracopsis barklyi,Birds
Seychelles Blue Pigeon,Alectroenas pulcherrimus,Birds
Seychelles Bulbul,Hypsipetes crassirostris,Birds
Seychelles Flying Fox,Pteropus seychellensis,Bats
Seychelles Mantis,Polyspilota seychelliana,Insects
Seychelles Skink,Trachylepis sechellensis,Reptiles
Seychelles Sunbird,Cinnyris dussemieri,Birds
Shaggy Parasol,Chlorophyllum rhacodes,Fungi
Shelduck,Tadorna tadorna,Birds
Shepherd's Purse,Capsella bursa-pastoris,Flora
Shining Crane's Bill,Geranium lucidum,Flora
Shorelark,,Birds
Shoveler,Spatula clypeata,Birds
Shuttlecock Fern,Matteuccia struthiopteris,Flora
Silver Birch,Betula pendula,Trees
Silver Ragwort,Cineraria maritima,Flora
Silver Y Moth,Autographa gamma,Moths
Siskin,Spinus spinus,Birds
Skylark,Alauda arvensis,Birds
Sloe,Prunus spinosa,Shrubs
Small Copper Butterfly,Lycaena phlaeas,Butterflies
Small Grass Yellow Butterfly,Eurema Floricola,Butterflies
Small Heath Butterfly,Coenonympha pamphilus,Butterflies
Small Red Damsel Fly,Ceriagrion tenellum,Damselflies
Small Tortoiseshell Butterfly,Aglais urticae,Butterflies
Small White Butterfly,Pieris rapae,Butterflies
Smooth-Handed Ghost Crab,Ocypode cordimanus,Marine Invertebrates
Snakes-Head Fritillary,Fritillaria meleagris,Flora
Snipe,Gallinago gallinago,Birds
Snowberry,Symphoricarpos albus,Flora
Snowdrop,Galanthus nivalis,Flora
Song Thrush,Turdus philomelos,Birds
Southern Ground Squirrel,Xerus inauris,Rodents
Southern Ground-Hornbill,Bucorvus leadbeateri,Birds
Southern Hawker Dragonfly,Aeshna cyanea,Dragonflies
Southern Marsh Orchid,Dactylorhiza praetermissa,Flora
Sparrowhawk,Accipiter nisus,Birds
Speckled Bush Cricket,Leptophyes punctatissima,Grasshoppers
Speckled Mousebird,Colius striatus,Birds
Speckled Wood Butterfly,Pararge aegeria,Butterflies
Speedwell,Veronica,Flora
Spotless Starling,Sturnus unicolor,Birds
Spotted Flycatcher,Muscicapa striata,Birds
Spotted Hyena ,Crocuta crocuta,Mammals
Stag Beetle,Lucanus cervus,Beetles
Star Of Bethlehem,Ornithogalum umbellatum,Flora
Stonechat,Saxicola rubicola,Birds
Street Pigeon,Columba livia,Birds
Striated Heron,Butorides striata,Birds
Sun Spurge,Euphorbia helioscopia,Flora
Sundbergs Day Gecko,Phelsuma sundbergi,Reptiles
Superb Starling,Lamprotornis superbus,Birds
Swallow,Hirundo rustica,Birds
Swallowtail Butterfly,Papilio machaon,Butterflies
Sweet Violet,Viola odorata,Flora
Swift,Apus apus,Birds
Sycamore,Acer pseudoplatanus,Trees
Tailless Tenrec,Tenrec ecaudatus,Mammals
Tall Coconut,Cocos nucifera,Trees
Tamarind,Tamarindus indica,Trees
Tawny Eagle,Aquila rapax,Birds
Tawny Owl,Strix aluco,Birds
Teal,Anas crecca,Birds
Teasel,Dipsacus fullonum,Flora
Ten Spot Ladybird,Adalia decempunctata,Beetles
Termite,Macrotermes,Ants
Terrapin,,Reptiles
Thomson's Gazelle,Eudorcas thomsonii,Ungulates
Thrift,Armeria maritima,Flora
Thrip,,Insects
Thrush,Turdus philomelos,Birds
Treecreeper,Certhia familiaris,Birds
Tropical Shearwater,Puffinus bailloni,Birds
Tubercular Nudibranch,Dendrododoris tuberculosa,Marine Invertebrates
Tufted Duck,Aythya fuligula,Birds
Tufted Vetch,Vicia cracca,Flora
Two-Banded Longhorn Beetle,Rhagium Bifasciatum,Beetles
Two-Banded Plover,Charadrius falklandicus,Birds
Two-Spot Ladybird,Adalia bipunctata,Beetles
Umbrella Acacia,Vachellia tortilis,Trees
Vervet Monkey,Chlorocebus pygerythrus,Primates
Village Weaver,Ploceus cucullatus,Birds
Viper's Bugloss,Echium vulgare,Flora
Vole,,Rodents
Von Der Decken's Hornbill,Tockus deckeni,Birds
Vulture,,Birds
Water Forget-Me-Not,Myosotis scorpioides,Flora
Water Lillies,Nymphaea,Flora
Water Thick-Knee,Burhinus vermiculatus,Birds
Weaver Bird,,Birds
Whirligig Beetle,Gyrinus natator,Beetles
Whistling-Thorn Acacia,Vachellia drepanolobium,Trees
White Banded Grasshopper,Eyprepocnemis plorans,Grasshoppers
White Campion,Silene latifolia,Flora
White Clover,Trifolium repens,Flora
White Mustard,Sinapis alba,Flora
White Rosebay Willow Herb,Chamaenerion angustifolium 'Album',Flora
White Tailed Tropicbird,Phaethon lepturus,Birds
White Water Lilly,Nymphaea alba,Flora
White-Backed Vulture,Gyps africanus,Birds
White-Bellied Bustard,Eupodotis senegalensis,Birds
White-Bibbed Mallard,Anas platyrhynchos,Birds
White-Faced Whistling Duck,Dendrocygna viduata,Birds
White-Fronted Bee Eater,Merops bullockoides,Birds
White-Headed Vulture,Trigonoceps occipitalis,Birds
White-Tailed Bumblebee,Bombus Lucorum,Bees
White-Thorned Acacia,Vachellia constricta,Trees
Whitethroat,Curruca communis,Birds
Whitish Nassa,Nassarius albescens,Molluscs
Wigeon,Mareca penelope,Birds
Wild Hop,Flemingia strobilifera,Flora
Wild Mango Tree,Irvingia gabonensis,Trees
Wild Watermelon,Citrullus lanatus var. citroides,Trees
Willow,Salix alba,Trees
Willow Tit,Poecile montanus,Birds
Willow Warbler,Phylloscopus trochilus,Birds
Winter Aconite,Eranthis hyemalis,Flora
Wood Ant,Formica rufa,Ants
Wood Spurge,Euphorbia amygdaloides,Flora
Wood Warbler,Phylloscopus sibilatrix,Birds
Woodmouse,Apodemus sylvaticus,Rodents
Woodpigeon,Columba palumbus,Birds
Wren,Troglodytes troglodytes,Birds
Yellow Candle Bush,Senna alata,Trees
Yellow Flag Iris,Iris pseudacorus,Flora
Yellow Legged Gull,Larus michahellis,Birds
Yellow Meadow Ant,Lasius flavus,Ants
Yellow Oriental Paper Wasp,Polistes olivaceus,Wasps
Yellow Wagtail,Motacilla flava,Birds
Yellow Water Lilly,Nuphar lutea,Flora
Yellow-Barked Acacia,Vachellia xanthophloea,Trees
Yellow-Billed Stork,Mycteria ibis,Birds
Yellow-Collared Lovebirds,Agapornis personatus,Birds
Yellowhammer,Emberiza citrinella,Birds
Yew,Taxus baccata,Trees
Zebra Dove,Geopelia striata,Birds
Zebra Spider,Salticus scenicus,Arachnids
