Name,Address,City,County,Country,Latitude,Longitude
Gloucester,None,Gloucester,Gloucestershire,United Kingdom,51.858109,-2.255388
Grand Gaube,None,,Rivière du Rempart,Mauritius,20.0142,57.6694
Grasmere,Grasmere,,Cumbria,United Kingdom,54.448834,-3.020897
Hamburg,None,Hamburg,Hamburg,Germany,53.5569,9.99462
Harcourt Arboretum,Oxford Lodge Peacock Gate,Oxford,Oxfordshire,United Kingdom,51.7227,-1.129169
Heathrow Airport,Nelson Road,Hounslow,London,United Kingdom,51.47,-0.4509
Kennington,None,Kennington,Oxfordshire,United Kingdom,51.717,-1.25
La Digue,None,,La Digue,Seychelles,-4.3581,55.8417
La Manga,La Manga,30380 Murcia,Murcia,Spain,37.664247,-0.728508
Lake Manyara National Park,None,,Manyara Region,Tanzania,-3.606476,35.808737
Larnaca,None,Larnaca,Larnaca District,Cyprus,34.923611,33.623619
Lashford Lane Fen,Lashford Lane,Wootton,Oxfordshire,United Kingdom,51.706694,-1.324120
Leith,None,Edinburgh,Lothian,Scotland,55.97882,-3.17936
Little Haven,None,,Pembrokeshire,Wales,51.77376664,-5.10687349
Little Wittenham,,Little Wittenham,Oxfordshire,United Kingdom,51.63405,-1.1867
London,None,London,Greater London,United Kingdom,51.5018,-0.1328
Manchester,None,Manchester,Greater Manchester,United Kingdom,53.483959,-2.244644
Mesopotamia,None,Oxford,Oxfordshire,United Kingdom,51.75903,-1.24162
Millets Farm,Kingston Road,Frilford,Oxfordshire,United Kingdom,51.6675,-1.356117
Milton,None,Milton,Oxfordshire,United Kingdom,51.627829,-1.296348
Ngorongoro Crater,None,None,Ngorongoro District,Tanzania,-3.15582,35.588331
Orchard Lake,Radley Lakes,Radley,Oxfordshire,United Kingdom,51.669448,-1.250431
Oxford,None,Oxford,Oxfordshire,United Kingdom,51.754872,-1.260463
Oxford Canal,,Oxford,Oxfordshire,United Kingdom,51.757407,-1.270389
Paphos,None,,Paphos District,Cyprus,34.772013,32.429736
Playa Flamenca,Playa Flamenca,Alicante,Orihuela Costa,Spain,37.930096,-0.721791
Poole,None,Poole,Dorset,United Kingdom,50.7167,-2.0
Port Launay,None,,Port Glaud District,Seychelles,4.6513566,55.3896518
Praslin,None,,Praslin,Seychelles,-4.3197,55.7387
Puttles Bridge,Rhinefield Road,Brockenhurst,Hampshire,United Kingdom,50.8247344,-1.6177514
Queenford Lakes,Burcot Lane,Wallingford,Oxfordshire,United Kingdom,51.6075,-1.126741
Radcliffe,None,Radcliffe,Manchester,United Kingdom,53.55,-2.3277
Regents Park,None,London,Greater London,United Kingdom,51.53081,-0.154493
Serengeti National Park,None,,Serengeti District,Tanzania,-2.333687,34.83328
Serengeti National Park (Central),None,,Serengeti District,Tanzania,-1.987747,34.774225
Serengeti National Park (Western Corridor),None,,Serengeti District,Tanzania,-2.412276,34.369786
"Setthorns, The New Forest",None,New Milton,Hampshire,United Kingdom,50.8016054,-1.6366237
Stadhampton,None,Stadhampton,Oxfordshire,United Kingdom,51.6975,-1.129169
Stonehenge,None,Amesbury,Wiltshire,United Kingdom,51.15,-1.755757
Sunningwell,None,Sunningwell,Oxfordshire,United Kingdom,51.7011,-1.2846
Swansea,None,,City and County of Swansea,Wales,51.622903,-3.942418
